Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266413,,6229,300,2024-12-19 16:18:00,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:20:12,168.70851,-46.55652,0.005,,,0,401623106.44,1,,140,178,00,09,248,240,227,01
266413,,6229,300,2024-12-19 16:23:00,CS,N,ZE,2024-12-19 16:20:12,168.70851,-46.55652,0.005,,,0,401623106.44,0,00,,,,,,,,
266417,,6229,501,2024-12-19 16:19:26,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:19:25,168.41334,-46.59087,0.011,,,1,401630764.50,1,,135,168,00,24,00,241,227,01
266417,,6229,501,2024-12-19 16:23:36,CS,N,ZE,2024-12-19 16:19:25,168.41334,-46.59087,0.011,,,1,401630764.50,0,00,,,,,,,,
266413,,6229,51,2024-12-19 16:03:51,O3,N,ZE,2024-12-19 16:04:16,168.67758,-46.10628,0.469,,,B,401623041.01,0,00,,,,,,,,
266413,,6229,51,2024-12-19 16:04:42,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:04:16,168.67758,-46.10628,0.469,,,B,401623041.01,1,,129,178,00,08,13,10,245,01
266414,,6229,0,2024-12-19 14:30:42,O3,N,ZE,2024-12-19 14:30:42,170.12066,-43.74269,0.703,,,B,401625284.69,0,00,,,,,,,,
266418,,6229,100,2024-12-19 14:31:13,O3,N,ZE,2024-12-19 14:30:23,170.14734,-43.71453,0.757,,,B,401633089.46,0,00,,,,,,,,
266421,,6229,50,2024-12-19 14:30:30,O3,N,ZE,2024-12-19 14:30:04,173.00866,-40.9812,0.361,,,B,401661194.10,0,00,,,,,,,,
266417,,6229,300,2024-12-19 14:31:52,O3,N,ZE,2024-12-19 14:29:05,168.43573,-46.6116,0.000,,,3,401630773.30,0,00,,,,,,,,
266413,,6229,100,2024-12-19 14:29:53,O3,N,ZE,2024-12-19 14:29:02,168.76994,-46.54593,0.004,,,A,401623092.77,0,00,,,,,,,,
266422,,6229,50,2024-12-19 14:27:41,O3,N,ZE,2024-12-19 14:28:05,168.37882,-46.58123,0.004,,,B,401663033.50,0,00,,,,,,,,
266422,,6229,50,2024-12-19 14:28:31,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 14:28:05,168.37882,-46.58123,0.004,,,B,401663033.50,1,,136,184,00,13,254,243,225,01
266414,,6229,349,2024-12-19 12:54:47,O3,N,ZE,2024-12-19 12:52:42,170.1255,-43.74044,0.715,,,2,401625285.35,0,00,,,,,,,,
266414,,6229,349,2024-12-19 12:55:37,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:42,170.1255,-43.74044,0.715,,,2,401625285.35,1,,147,174,00,57,250,244,227,01
266418,,6229,149,2024-12-19 12:53:07,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:41,170.1422,-43.72491,0.691,,,3,401633088.08,1,,142,182,00,40,03,252,223,01
266418,,6229,149,2024-12-19 12:53:56,O3,N,ZE,2024-12-19 12:52:41,170.1422,-43.72491,0.691,,,3,401633088.08,0,00,,,,,,,,
266421,,6229,150,2024-12-19 12:53:37,O3,N,ZE,2024-12-19 12:52:13,173.009,-40.99074,0.016,,,A,401661194.53,0,00,,,,,,,,
266413,,6229,399,2024-12-19 12:51:50,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:50,168.76797,-46.57327,0.000,,,2,401623101.15,1,,140,186,00,51,254,250,224,01
266413,,6229,399,2024-12-19 12:55:10,O3,N,ZE,2024-12-19 12:51:50,168.76797,-46.57327,0.000,,,2,401623101.15,0,00,,,,,,,,
266422,,6229,349,2024-12-19 12:48:55,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:49,168.37555,-46.58113,0.004,,,2,401663034.90,1,,133,187,00,07,02,246,225,01
266422,,6229,349,2024-12-19 12:54:44,O3,N,ZE,2024-12-19 12:51:49,168.37555,-46.58113,0.004,,,2,401663034.90,0,00,,,,,,,,
266417,,6229,199,2024-12-19 12:51:54,O3,N,ZE,2024-12-19 12:50:14,168.41234,-46.61057,0.000,,,3,401630771.86,0,00,,,,,,,,
266422,,6229,0,2024-12-19 12:48:55,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:48:55,168.38597,-46.57833,0.000,,,B,401663038.37,1,,133,187,00,49,178,102,225,01
266417,,6229,0,2024-12-19 12:48:35,MC,N,ZE,2024-12-19 12:48:34,168.42022,-46.60706,0.000,,,B,401630768.03,0,00,,,,,,,,
266417,,6229,0,2024-12-19 12:21:56,NP,N,ZE,2024-12-19 12:21:56,168.41549,-46.60918,0.000,,,B,401630771.75,0,00,,,,,,,,
266413,,6229,200,2024-12-19 12:23:37,NP,N,ZE,2024-12-19 12:20:17,168.75862,-46.59339,0.000,,,B,401623115.81,0,00,,,,,,,,
266413,,6229,398,2024-12-19 11:07:17,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:00,168.8065,-46.56022,0.028,,,2,401623112.31,1,,132,191,02,47,251,247,225,129
266413,,6229,398,2024-12-19 11:08:07,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:00,168.8065,-46.56022,0.028,,,2,401623112.31,1,,134,191,03,47,251,09,230,129
