"date","time","bird","sex","tagged","inc_brood","walk","feed","fly","cos_time","sin_time"
2021-11-20,07:21:00.000000,"RB/BR","M","Y",0,1,1,0,5.99083397901819,1.89428768675683
2021-11-20,10:01:00.000000,"RB/RL","F","Y",1,1,0,0,5.74384795458002,2.54688599647184
2021-11-21,12:23:00.000000,"RR/BG","F","N",1,1,0,0,5.4651991376638,3.10000257903703
2021-11-22,08:12:00.000000,"RL/YR","M","Y",0,1,0,0,5.92000176859247,2.1052307864506
2021-11-22,08:28:00.000000,"RB/BY","F","Y",0,1,0,0,5.89624536826398,2.17087727925441
2021-11-25,12:57:00.000000,"RR/GO","M","N",1,0,0,0,5.3904881216177,3.22816595221743
2021-11-25,17:40:00.000000,"RB/RL","F","Y",1,1,0,0,4.65637563244248,4.21859971719921
2021-11-25,18:13:00.000000,"RB/BY","F","Y",1,1,0,0,4.558485201377,4.32419128545261
2021-11-26,10:45:00.000000,"RR/RG","M","Y",0,1,0,0,5.663357406865,2.7211763056562
2021-11-26,08:44:00.000000,"RB/BR","M","Y",0,1,0,0,5.87176104389751,2.23625576527486
2021-11-27,20:01:00.000000,"RR/BG","F","N",1,1,0,0,4.22166008313281,4.6536011589779
2021-11-27,20:03:00.000000,"RR/GO","M","N",1,1,0,0,4.21519267845121,4.65946008544861
2021-11-29,07:04:00.000000,"RR/BG","F","N",1,1,0,0,6.01277910824591,1.82343220323624
2021-11-29,07:06:00.000000,"RR/GO","M","N",1,1,0,0,6.01024076497178,1.8317815239348
2021-11-29,07:47:00.000000,"RR/WR","F","N",1,1,0,0,5.95565693211528,2.00214088198225
2021-11-29,09:10:00.000000,"RR/RG","M","Y",1,1,1,0,5.83042931737432,2.34190340950678
2021-12-07,15:30:00.000000,"RB/RL","F","Y",1,1,0,0,5.0177423039628,3.78162396007054
2021-12-10,07:49:00.000000,"RW/BY","F","Y",0,1,0,0,5.95287043751737,2.01041069398499
2021-12-10,11:13:00.000000,"RB/RL","F","Y",0,1,0,0,5.6093783939751,2.83077580135954
2021-12-12,14:07:00.000000,"RW/BG","M","Y",0,1,1,0,5.2272574679886,3.4862869887195
2021-12-12,14:09:00.000000,"RW/LB","F","Y",0,1,0,0,5.22241036256194,3.49354370365723
