"ring","tag_type","treatment_group","tag_type_","measure","weight","culmen","tarsus","wing"
"CP15270","control","control","control","first",55.68,17.6,30.1,134.5
"CP16111","PTT","tagged","PTT","first",61.57,16.4,29.2,130
"CP16116","control","control","control","first",58.68,17.4,30.3,130
"CP16134","PTT","tagged","PTT","first",57.7,17.15,30.2,136.5
"CP16134","PTT","tagged","PTT","second",55.82,17.15,30.2,136.5
"CP16140","control","control","control","first",53.82,16.2,29.5,132
"CP16149","control","control","control","first",59.49,17.2,31.8,131
"CP16188","control","control","control","first",62.32,18.2,30.7,124
"CP16457","control","control","control","first",59.69,17.3,30.2,137
"CP16458","control","control","control","first",57.61,18,30.25,127
"CP16459","control","control","control","first",57.3,16.4,29.1,130
"CP16460","control","control","control","first",64.4,18,30.15,132
"CP16460","control","control","control","second",53.12,18,30.15,132
"CP16461","control","control","control","first",57.77,17.95,30.525,130
"CP16461","control","control","control","second",56.59,17.95,30.525,130
"CP16462","control","control","control","first",54.47,16.5,29.7,132
"CP16462","control","control","control","second",55.33,16.5,29.7,132
"CP16463","control","control","control","first",61.28,18.3,28.7,134
"CP16463","control","control","control","second",61.72,18.3,28.7,134
"CP16464","control","control","control","first",58.12,16.95,29.975,130
"CP16464","control","control","control","second",57.84,16.95,29.975,130
"CP16465","control","control","control","first",67.67,17.3,28.75,132.5
"CP16465","control","control","control","second",66.52,17.3,28.75,132.5
"CP16466","control","control","control","first",60.91,18,30.35,135.5
"CP16469","control","control","control","first",56.4,17.7,29.1,135.5
"CP16470","control","control","control","first",52.58,17.2,30,130
"CP16480","control","control","control","first",51.77,17,28.9,127
"CP16485","control","control","control","first",55.2,17.5,29.2,136.5
"CP16485","control","control","control","second",48.4,17.5,29.2,136.5
"CP16487","control","control","control","first",64.01,17.3,30.15,135
"CP16493","control","control","control","first",53.21,18.4,29.8,131
"CP16538","control","control","control","first",54.12,17.2,29.2,126.5
"CP16606","control","control","control","first",52.49,17,29.3,129
"CP16607","PTT","tagged","PTT","first",58.15,17.7,31.85,131.5
"CP16607","PTT","tagged","PTT","second",56.62,17.7,31.85,131.5
"CP16609","PTT","tagged","PTT","first",62.27,19.2,30.25,134
"CP16609","PTT","tagged","PTT","second",60.14,19.2,30.25,134
"CP16614","control","control","control","first",58.88,17.15,29.95,132.25
"CP16614","control","control","control","second",55.13,17.15,29.95,132.25
"CP16615","control","control","control","first",58.63,16.8,29.05,134.5
"CP16616","PTT","tagged","PTT","first",62.88,17.35,30.975,132.75
"CP16616","PTT","tagged","PTT","second",56.81,17.35,30.975,132.75
"CP16617","PTT","tagged","PTT","first",58.25,18.2,29.75,136.5
"CP16653","control","control","control","first",56.12,17.5,30.8,128
"CP16901","control","control","control","first",59.46,15.7,31.7,135
"CP16902","control","control","control","first",57.48,17,29.3,124.5
"CP16904","control","control","control","first",59.02,15.9,30.4,135
"CP16905","PTT","tagged","PTT2","first",64,18.6,31.2,140
"CP16905","PTT","tagged","PTT2","second",66.08,18.6,31.2,140
"CP16906","control","control","control","first",58.44,16.6,29.325,134.5
"CP16906","control","control","control","second",57.92,16.6,29.325,134.5
"CP16909","control","control","control","first",58.02,16,28.3,133
"CP16910","control","control","control","first",57.45,16.8,29.3,136.5
"CP16911","control","control","control","first",61.52,16.9,30.7,132.5
"CP16914","control","control","control","first",56.27,17.6,28.2,134.5
"CP16918","PTT","tagged","PTT2","first",56.44,18.35,31.5,133
"CP16918","PTT","tagged","PTT2","second",58.16,18.35,31.5,133
"CP16920","control","control","control","first",58.39,16.6,32,132
"CP16922","control","control","control","first",60.56,18,31.9,133.5
"CP16923","control","control","control","first",58.7,17.9,29.25,134
"CP19318","control","control","control","first",51.27,17,31.3,128
"CP19335","control","control","control","first",54.88,16.9,31.3,129
"CP19337","control","control","control","first",55.47,17.2,30.6,131
"CP9009","control","control","control","first",65.63,16.1,29.8,132.5
"CP9011","control","control","control","first",53.33,17.3,30.05,130.5
"CP9032","GPS","tagged","GPS","first",56.77,15.9,30.35,134.5
"CP9042","GPS","tagged","GPS","first",56.66,16.8,30.8,137
"CP9042","GPS","tagged","GPS","second",55.24,16.8,30.8,137
"CP9055","GPS","tagged","GPS","first",59.87,17.5,30.4,131.5
"CP9059","control","control","control","first",57.39,16.7,30.1,134
"CP9060","GPS","tagged","GPS","first",61.61,17.5,29.75,131.5
"CP9061","GPS","tagged","GPS","first",55.39,17.1,30.25,134
"CP9061","GPS","tagged","GPS","second",55.3,17.1,30.25,134
"CP9065","control","control","control","first",57.62,17.2,30.05,134
"CP9066","GPS","tagged","GPS","first",62.83,18,30.35,138
"CP9068","PTT","tagged","PTT2","first",64.58,16,30.1,132
"CP9068","PTT","tagged","PTT2","second",62.02,16,30.1,132
"CP9075","control","control","control","first",63.53,17.9,32.8,135
"CP9075","control","control","control","second",60.15,17.9,32.8,135
"CP9078","GPS","tagged","GPS","first",58.98,18.1,30.1,132
"CP9080","control","control","control","first",56.25,18,29.1,130
"CP9087","control","control","control","first",57.6,17.9,29.4,131
"CP9092","control","control","control","first",55.46,17.1,29.4,134
"CP9095","control","control","control","first",61.16,17.5,31,133
"CP9096","GPS","tagged","GPS","first",59.94,16.5,29.2,134
"CP9097","GPS","tagged","GPS","first",55.13,18.0333333333333,29.9333333333333,133.666666666667
"CP9097","GPS","tagged","GPS","second",53.88,18.0333333333333,29.9333333333333,133.666666666667
"CP9098","GPS","tagged","GPS","first",62.52,16.4,30.075,132.25
"CP9099","PTT","tagged","PTT","first",58.86,17,30.825,131
