"ring","tag_type","tag_type_","treatment_group","measure","smi_wing","weight","date_diff","day_of_year","culmen","tarsus","wing"
"CP15270","control","control","control","first",53.5622459559306,55.68,NA,277,17.6,30.1,134.5
"CP16111","PTT","PTT","tagged","first",65.3007081382259,61.57,NA,299,16.4,29.2,130
"CP16116","control","control","control","first",62.2355945030225,58.68,NA,281,17.4,30.3,130
"CP16134","PTT","PTT","tagged","first",53.2045828051531,57.7,712,300,17.15,30.2,136.5
"CP16134","PTT","PTT","tagged","second_between",51.4710539373249,55.82,712,282,17.15,30.2,136.5
"CP16140","control","control","control","first",54.6354458474349,53.82,NA,282,16.2,29.5,132
"CP16149","control","control","control","first",61.7230591230736,59.49,NA,282,17.2,31.8,131
"CP16188","control","control","control","first",75.6896988160227,62.32,NA,281,18.2,30.7,124
"CP16457","control","control","control","first",54.465352753297,59.69,NA,275,17.3,30.2,137
"CP16458","control","control","control","first",65.3324998035919,57.61,NA,275,18,30.25,127
"CP16459","control","control","control","first",60.771976227389,57.3,NA,275,16.4,29.1,130
"CP16460","control","control","control","first",65.3757471678708,64.4,4,276,18,30.15,132
"CP16460","control","control","control","second_within",53.9248398999581,53.12,4,280,18,30.15,132
"CP16461","control","control","control","first",61.2704549154671,57.77,4,276,17.95,30.525,130
"CP16461","control","control","control","second_within",60.0189552305051,56.59,4,280,17.95,30.525,130
"CP16462","control","control","control","first",55.2952942272349,54.47,4,276,16.5,29.7,132
"CP16462","control","control","control","second_within",56.1683243912778,55.33,4,280,16.5,29.7,132
"CP16463","control","control","control","first",59.5823475225738,61.28,7,276,18.3,28.7,134
"CP16463","control","control","control","second_within",60.0101581118351,61.72,7,283,18.3,28.7,134
"CP16464","control","control","control","first",61.6416624491422,58.12,10,276,16.95,29.975,130
"CP16464","control","control","control","second_within",61.3446964222021,57.84,10,286,16.95,29.975,130
"CP16465","control","control","control","first",67.9543893168248,67.67,9,276,17.3,28.75,132.5
"CP16465","control","control","control","second_within",66.7995563374492,66.52,9,285,17.3,28.75,132.5
"CP16466","control","control","control","first",57.3615749398673,60.91,NA,276,18,30.35,135.5
"CP16469","control","control","control","first",53.1143133575524,56.4,NA,276,17.7,29.1,135.5
"CP16470","control","control","control","first",55.7659774875413,52.58,NA,282,17.2,30,130
"CP16480","control","control","control","first",58.7096600387424,51.77,NA,301,17,28.9,127
"CP16485","control","control","control","first",50.8993582468709,55.2,2,278,17.5,29.2,136.5
"CP16485","control","control","control","second_within",44.6291474483433,48.4,2,280,17.5,29.2,136.5
"CP16487","control","control","control","first",60.9235629188233,64.01,NA,279,17.3,30.15,135
"CP16493","control","control","control","first",55.2073285583921,53.21,NA,279,18.4,29.8,131
"CP16538","control","control","control","first",62.073038510505,54.12,NA,281,17.2,29.2,126.5
"CP16606","control","control","control","first",56.9172990856432,52.49,NA,299,17,29.3,129
"CP16607","PTT","PTT","tagged","first",59.6771192205749,58.15,712,300,17.7,31.85,131.5
"CP16607","PTT","PTT","tagged","second_between",58.1069387836449,56.62,712,282,17.7,31.85,131.5
"CP16609","PTT","PTT","tagged","first",60.5449213484117,62.27,711,301,19.2,30.25,134
"CP16609","PTT","PTT","tagged","second_between",58.4739291776695,60.14,711,282,19.2,30.25,134
"CP16614","control","control","control","first",59.448601627639,58.88,710,301,17.15,29.95,132.25
"CP16614","control","control","control","second_between",55.6623880389222,55.13,710,281,17.15,29.95,132.25
"CP16615","control","control","control","first",56.4000445473457,58.63,NA,301,16.8,29.05,134.5
"CP16616","PTT","PTT","tagged","first",62.8037824286398,62.88,710,301,17.35,30.975,132.75
"CP16616","PTT","PTT","tagged","second_between",56.741139945468,56.81,710,281,17.35,30.975,132.75
"CP16617","PTT","PTT","tagged","first",53.7117322079752,58.25,NA,302,18.2,29.75,136.5
"CP16653","control","control","control","first",62.227048510083,56.12,NA,282,17.5,30.8,128
