"nest_id","parent","tag_type","season","state","date"
"2021_G3","RRBG","control",2021,"fail","2021-11-07"
"2021_G3","RRGO","control",2021,"fail","2021-11-07"
"2021_N09","RWBY","GPS",2021,"fail","2021-10-05"
"2021_N14","RLYR","GPS",2021,"fail","2021-10-04"
"2021_N14","RRYY","GPS",2021,"fail","2021-10-02"
"2021_N19","RBRL","PTT",2021,"aband","2021-10-04"
"2021_N19","RRWW","control",2021,"aband","2021-10-04"
"2021_N20","RROO","control",2021,"fail","2021-10-04"
"2021_N20","RRRB","control",2021,"fail","2021-10-15"
"2021_N22","RBBR","GPS",2021,"fail","2021-10-09"
"2021_N23","RRYO","control",2021,"fail","2021-10-07"
"2021_N23","RYLY","control",2021,"fail","2021-10-07"
"2021_N24","RRBB","control",2021,"fail","2021-10-06"
"2021_N24","RYBB","control",2021,"fail","2021-10-07"
"2021_N26","RRGB","control",2021,"fail","2021-10-09"
"2021_N26","RWRR","control",2021,"fail","2021-10-07"
"2021_N27","RRBG","control",2021,"fail","2021-10-18"
"2021_N27","RRGO","control",2021,"fail","2021-10-18"
"2021_N29","RRBB","control",2021,"fail","2021-10-20"
"2021_N29","RYBB","control",2021,"fail","2021-10-20"
"2021_N31","RBRL","PTT",2021,"fail","2021-10-25"
"2021_N31","RRWW","control",2021,"fail","2021-10-25"
"2021_N34","RRYY","GPS",2021,"fail","2021-11-03"
"2021_N35","RLYL","GPS",2021,"fail","2021-11-01"
"2021_N35","RRLR","GPS",2021,"fail","2021-11-01"
"2021_N37","RWBG","GPS",2021,"fail","2021-11-08"
"2021_N37","RWLB","GPS",2021,"fail","2021-11-08"
"2021_N38","RWBY","GPS",2021,"fail","2021-11-09"
"2021_N39","RBRL","PTT",2021,"brood","2021-11-10"
"2021_N39","RRWW","control",2021,"brood","2021-11-10"
"2021_N43","RBBY","GPS",2021,"fail","2021-11-17"
"2021_N43","RRWY","control",2021,"fail","2021-11-17"
"2021_N45","RRGB","control",2021,"fail","2021-11-21"
"2021_N45","RWRR","control",2021,"fail","2021-11-21"
"2021_N48","RRYO","control",2021,"fail","2021-11-29"
"2021_N49","RBBY","GPS",2021,"fail","2021-11-26"
"2021_N49","RRBB","control",2021,"fail","2021-11-26"
"2021_WW16","RRWB","control",2021,"fail","2021-10-07"
"2021_WW16","RRYG","control",2021,"fail","2021-10-07"
"2021_WW38N","RROY","control",2021,"fail","2021-11-05"
"2021_WW52","RRWR","control",2021,"brood","2021-12-01"
"2021_WW56","RRGY","control",2021,"fail","2021-12-08"
"2021_Ww39","RRBO","control",2021,"fail","2021-11-07"
"2021_ww11","RRBO","control",2021,"fail","2021-10-12"
"2021_ww11","RROR","control",2021,"fail","2021-10-05"
"2021_ww13","RYBR","control",2021,"fail","2021-10-05"
"2021_ww15","RROG","control",2021,"brood","2021-10-11"
"2021_ww15","RRWG","control",2021,"brood","2021-10-11"
"2021_ww18","RRWR","control",2021,"fail","2021-10-07"
"2021_ww18","RRYR","control",2021,"fail","2021-10-07"
