"ch","freq"
"GGC",1
"GG0",1
"GG0",1
"G00",1
"GG0",1
"GG0",1
"GGC",1
"GGC",1
"GGC",1
"GGC",1
"CPP",1
"0P0",1
"0PP",1
"PPP",1
"0PP",1
"0PP",1
"CPP",1
"CPP",1
"PP0",1
"CPP",1
"0C0",1
"CC0",1
"CC0",1
"C00",1
"0C0",1
"0C0",1
"CCC",1
"CCC",1
"0CC",1
"0CC",1
"0CC",1
"CC0",1
"0C0",1
"CC0",1
"0CC",1
"0CC",1
"00C",1
"0CC",1
"0CC",1
"00C",1
"0C0",1
"0C0",1
"CCC",1
"00C",1
"00C",1
"00C",1
"00C",1
"00C",1
"00C",1
"00C",1
"00C",1
"00C",1
"C0C",1
"CCC",1
"CCC",1
"C00",1
"CCC",1
"CCC",1
"C00",1
"CCC",1
"CCC",1
"C00",1
"CC0",1
"C0C",1
"C00",1
"CCC",1
"CCC",1
"C00",1
"CCC",1
"CCC",1
"CCC",1
"CC0",1
"CCC",1
"CCC",1
"C00",1
"CC0",1
"CCC",1
"CC0",1
"CCC",1
"C00",1
"CCC",1
"CCC",1
"CCC",1
"CCC",1
"CCC",1
"CC0",1
"C00",1
"CCC",1
"0C0",1
"CCC",1
"CCC",1
"0CC",1
"CC0",1
"CCC",1
