"ring","parent","site","field_sex","tagID","tag_type","date_dep","date_local","temp","volt","latitude","longitude","locationClass","time_since_deployment"
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-10-16 12:57:56,NA,4.08,-42.413045,173.664143,NA,1188476
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-10-23 12:58:02,NA,4.08,-42.426872,173.713988,NA,1793282
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-10-30 12:58:08,NA,4.08,-42.413984,173.666394,NA,2398088
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-11-06 12:58:14,NA,4.08,-42.413706,173.667587,NA,3002894
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-11-13 12:58:20,NA,4.08,-42.421844,173.713363,NA,3607700
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-11-20 12:58:28,NA,4.08,-42.413387,173.667272,NA,4212508
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-11-27 12:58:32,NA,4.08,-42.413912,173.666903,NA,4817312
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-12-04 12:58:37,NA,4.06,-42.413722,173.668333,NA,5422117
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-12-11 12:58:43,NA,4.04,-42.413495,173.667838,NA,6026923
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-12-18 12:58:48,NA,4.02,-42.413528,173.667324,NA,6631728
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2021-12-25 12:58:57,NA,4.02,-42.431414,173.703536,NA,7236537
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-01-01 12:59:04,NA,4.02,-42.431641,173.703679,NA,7841344
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-01-08 12:59:11,NA,4.02,-42.429254,173.709084,NA,8446151
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-01-15 12:59:19,NA,4.02,-42.432135,173.701683,NA,9050959
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-01-22 12:59:27,NA,4.02,-42.429662,173.708943,NA,9655767
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-01-29 12:59:33,NA,4,-42.42976,173.708589,NA,10260573
"CP9042","RRYY","KK","F","55843","GPS",2021-10-02 18:50:00,2022-02-05 12:59:40,NA,3.98,-42.429741,173.709001,NA,10865380
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2021-12-04 12:56:14,NA,4,-42.413571,173.662395,NA,5163854
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2021-12-11 12:56:18,NA,3.98,-42.413344,173.660141,NA,5768658
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2021-12-18 12:56:22,NA,3.96,-42.413582,173.666867,NA,6373462
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2022-01-01 12:56:31,NA,3.94,-42.41313,173.665059,NA,7583071
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2022-01-15 12:56:40,NA,3.92,-42.413083,173.665106,NA,8792680
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2022-01-29 12:56:49,NA,3.9,-42.413275,173.66566,NA,10002289
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2022-02-12 12:56:56,NA,3.88,-42.41368,173.660583,NA,11211896
"CP9055","RRLR","KK","M","20865","GPS",2021-10-05 18:32:00,2022-02-26 12:57:04,NA,3.83,-42.413609,173.66362,NA,12421504
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2021-12-04 13:00:23,NA,4.1,-42.394323,173.681413,NA,4829783
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2021-12-11 13:00:28,NA,4.08,-42.392768,173.681348,NA,5434588
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2021-12-18 13:00:33,NA,4.08,-42.42156,173.712841,NA,6039393
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2021-12-25 13:00:46,NA,4.1,-42.414552,173.705211,NA,6644206
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2022-01-01 13:00:48,NA,4.1,-42.422048,173.713929,NA,7249008
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2022-01-08 13:00:54,NA,4.04,-42.414434,173.70478,NA,7853814
"CP9098","RWLB","KK","F","21146","GPS",2021-10-09 15:24:00,2022-01-15 13:01:03,NA,3.96,-42.421926,173.714156,NA,8458623
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-10-16 13:00:20,NA,4.18,-42.414828,173.673496,NA,579740
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-10-23 13:00:23,NA,4.12,-42.418052,173.632602,NA,1184543
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-10-30 13:00:26,NA,4.04,-42.413437,173.670397,NA,1789346
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-11-06 13:00:29,NA,4,-42.43288,173.701654,NA,2394149
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-11-13 13:00:31,NA,3.98,-42.414541,173.673051,NA,2998951
"CP9032","RBBR","KK","M","55687","GPS",2021-10-09 19:58:00,2021-11-20 13:00:36,NA,4,-42.416877,173.632784,NA,3603756
