parent,nickname,tag_type,deployment_date,recapture_date,comment
RRYY,,GPS,02.10.21,16.11.22,tag 55843 retrieved and data downloaded
RLYR,,GPS,03.10.21,,
RWBY,,GPS,03.10.21,?,tag 55795 retrieved and data downloaded
RBBY,,GPS,04.10.21,03.12.22,tag 55660 retrieved and data downloaded
RLYL,,GPS,05.10.21,29.09.22,no tag when recaptured
RRLR,,GPS,05.10.21,29.09.22,tag 20865 retrieved and data downloaded
RRBR,,GPS,06.10.21,,
RBBR,Mr. Omaha,GPS,09.10.21,28.09.22,tag 55687 retrieved and data downloaded
RWLB,Ginger,GPS,09.10.21,?,tag 21146 retrieved and data downloaded
RWBG,,GPS,10.10.21,,
RBRL,Ariel,PTT,03.10.21,,
RRRG,Antony,PTT,14.10.21,?,tag retrieved from cat predation
RBGB,,PTT,26.10.22,,
RWLG,,PTT,26.10.22,,
RBOG,,PTT,27.10.22,,
RROW,,PTT,27.10.22,,
RBOY,,PTT,28.10.22,,
RBWR,,PTT,28.10.22,,
RRGO,,PTT,28.10.22,,
RBWO,,PTT,29.10.22,,
