"code","tag_type","deployment_date","recapture_date","deploy_duration","ring","tag_id","tag_type_"
"RRYY","GPS",2021-10-02,2022-11-16,410,"CP9042","55843","GPS"
"RLYR","GPS",2021-10-03,NA,NA,"CP9061","20949","GPS"
"RWBY","GPS",2021-10-03,2022-10-02,364,"CP9096","55795","GPS"
"RBBY","GPS",2021-10-04,2022-12-03,425,"CP9066","55660","GPS"
"RLYL","GPS",2021-10-05,2022-09-29,359,"CP9060","21251","GPS"
"RRLR","GPS",2021-10-05,2022-09-29,359,"CP9055","20865","GPS"
"RRBR","GPS",2021-10-06,NA,NA,"CP9078","21153","GPS"
"RBBR","GPS",2021-10-09,2022-09-28,354,"CP9032","55687","GPS"
"RWLB","GPS",2021-10-09,2022-10-12,368,"CP9098","21146","GPS"
"RWBG","GPS",2021-10-10,2022-10-26,381,"CP9097","21107","GPS"
"RBRL","PTT",2021-10-03,NA,NA,"CP9068","66903","PTT2"
"RRRG","PTT",2021-10-14,2022-10-24,375,"CP16905","66891","PTT2"
"RBGB","PTT",2022-10-26,2023-11-03,373,"CP16111","234672","PTT"
"RWLG","PTT",2022-10-26,2023-09-07,316,"CP9099","234673","PTT"
"RBOG","PTT",2022-10-27,2022-10-28,1,"CP16134","234658","PTT"
"RROW","PTT",2022-10-27,2023-07-01,247,"CP16607","66894","PTT"
"RBOY","PTT",2022-10-28,2023-12-02,400,"CP16609","234750","PTT"
"RBWR","PTT",2022-10-28,2023-07-27,272,"CP16616","66969","PTT"
"RRGO","PTT",2022-10-28,2023-11-03,371,"CP16918","66891","PTT2"
"RBWO","PTT",2022-10-29,NA,NA,"CP16617","66967","PTT"
